id_radar,local,bairro,cameras
180031112,AVENIDA SERNAMBETIBA PROXIMO AO SEMAFORO Nº 7635 - SENTIDO PONTAL - FX 2,BARRA DA TIJUCA,"[""2325 (SANTA M\u00d4NICA JARDINS - BRT - FIXA) - 1467.48m"", ""2326 (SANTA M\u00d4NICA JARDINS - BRT - FIXA) - 1471.75m"", ""2324 (SANTA M\u00d4NICA JARDINS - BRT - FIXA) - 1474.85m"", ""2321 (AM\u00c9RICAS PARK - BRT - FIXA) - 1618.85m"", ""2323 (AM\u00c9RICAS PARK - BRT - FIXA) - 1634.54m""]"
180041121,ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 8100 - SENTIDO RECREIO - FX 1,JACAREPAGUA,"[""3517 (ESTR. DOS BANDEIRANTES, 8462  - FIXA) - 50.06m"", ""3518 (ESTR. DOS BANDEIRANTES, 8462  - FIXA) - 56.30m"", ""901 (ESTR. DOS BANDEIRANTES, 8085) - 109.99m"", ""3501 (ESTR. DOS BANDEIRANTES, 8484 - FIXA) - 327.79m"", ""902 (ESTR. DOS BANDEIRANTES, N\u00b0 7800) - 346.97m""]"
180041122,ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 8100 - SENTIDO RECREIO - FX 2,JACAREPAGUA,"[""3517 (ESTR. DOS BANDEIRANTES, 8462  - FIXA) - 50.06m"", ""3518 (ESTR. DOS BANDEIRANTES, 8462  - FIXA) - 56.30m"", ""901 (ESTR. DOS BANDEIRANTES, 8085) - 109.99m"", ""3501 (ESTR. DOS BANDEIRANTES, 8484 - FIXA) - 327.79m"", ""902 (ESTR. DOS BANDEIRANTES, N\u00b0 7800) - 346.97m""]"
180051111,RUA FELIPE CARDOSO PROXIMO AO Nº 786 - SENTIDO ESTACAO SANTA CRUZ - FX 1,SANTA CRUZ,"[""2395 (GENERAL OL\u00cdMPIO - BRT - FIXA) - 19.36m"", ""2394 (GENERAL OL\u00cdMPIO - BRT - FIXA) - 51.39m"", ""2396 (GENERAL OL\u00cdMPIO - BRT - FIXA) - 87.88m"", ""589 (R. FELIPE CARDOSO X AV. ISABEL) - 325.33m"", ""3491 (R. DO CRUZEIRO, 10 - FIXA) - 485.42m""]"
180051112,RUA FELIPE CARDOSO PROXIMO AO Nº 786 - SENTIDO ESTACAO SANTA CRUZ - FX 2,SANTA CRUZ,"[""2395 (GENERAL OL\u00cdMPIO - BRT - FIXA) - 19.36m"", ""2394 (GENERAL OL\u00cdMPIO - BRT - FIXA) - 51.39m"", ""2396 (GENERAL OL\u00cdMPIO - BRT - FIXA) - 87.88m"", ""589 (R. FELIPE CARDOSO X AV. ISABEL) - 325.33m"", ""3491 (R. DO CRUZEIRO, 10 - FIXA) - 485.42m""]"
180061111,AVENIDA AREIA BRANCA PROXIMO AO Nº 1628 - SENTIDO ESTACAO SANTA CRUZ - FX 1,SANTA CRUZ,"[""2249 (GAST\u00c3O RANGEL - BRT - FIXA) - 1598.19m"", ""2250 (GAST\u00c3O RANGEL - BRT - FIXA) - 1606.82m"", ""591 (R. FELIPE CARDOSO X AV. ENG\u00ba GAST\u00c3O RANGEL) - 1621.50m"", ""3499 (AV. ISABEL, 362 - FIXA) - 1649.01m"", ""3786 (ESTR. DA PEDRA - ALT. BRT CURRAL FALSO) - 1911.30m""]"
180071121,AVENIDA AREIA BRANCA PROXIMO AO Nº 1628 - SENTIDO SEPETIBA - FX 1,SANTA CRUZ,"[""2249 (GAST\u00c3O RANGEL - BRT - FIXA) - 1598.19m"", ""2250 (GAST\u00c3O RANGEL - BRT - FIXA) - 1606.82m"", ""591 (R. FELIPE CARDOSO X AV. ENG\u00ba GAST\u00c3O RANGEL) - 1621.50m"", ""3499 (AV. ISABEL, 362 - FIXA) - 1649.01m"", ""3786 (ESTR. DA PEDRA - ALT. BRT CURRAL FALSO) - 1911.30m""]"
180081111,AVENIDA AREIA BRANCA PROXIMO AO Nº 178 - SENTIDO ESTACAO SANTA CRUZ - FX 1,SANTA CRUZ,"[""3499 (AV. ISABEL, 362 - FIXA) - 328.44m"", ""3492 (R. TERESA CRISTINA, 98 - FIXA) - 1188.19m"", ""3491 (R. DO CRUZEIRO, 10 - FIXA) - 1219.56m"", ""591 (R. FELIPE CARDOSO X AV. ENG\u00ba GAST\u00c3O RANGEL) - 1233.78m"", ""2250 (GAST\u00c3O RANGEL - BRT - FIXA) - 1288.60m""]"
180091121,AVENIDA AREIA BRANCA PROXIMO AO Nº 178 - SENTIDO SEPETIBA - FX 1,SANTA CRUZ,"[""3499 (AV. ISABEL, 362 - FIXA) - 328.44m"", ""3492 (R. TERESA CRISTINA, 98 - FIXA) - 1188.19m"", ""3491 (R. DO CRUZEIRO, 10 - FIXA) - 1219.56m"", ""591 (R. FELIPE CARDOSO X AV. ENG\u00ba GAST\u00c3O RANGEL) - 1233.78m"", ""2250 (GAST\u00c3O RANGEL - BRT - FIXA) - 1288.60m""]"
180101111,ESTRADA DO DENDE PROXIMO AO Nº 1056 - SENTIDO PORTUGUESA - FX 1,MONERO,"[""4166 (AV. MAESTRO PAULO E SILVA 109) - 977.33m"", ""4183 (R. EUT\u00edQUIO SOLEDADE X R. CAPANEMA) - 1025.20m"", ""4184 (R. EUT\u00edQUIO SOLEDADE X R. CAPANEMA - FIXA) - 1031.07m"", ""4185 (R. DEM\u00e9TRIO DE TOL\u00eaDO, 151 - FIXA) - 1040.10m"", ""4164 (AV. MAESTRO PAULO E SILVA 400 - FIXA) - 1050.89m""]"
180101112,ESTRADA DO DENDE PROXIMO AO Nº 1056 - SENTIDO PORTUGUESA - FX 2,MONERO,"[""4166 (AV. MAESTRO PAULO E SILVA 109) - 977.33m"", ""4183 (R. EUT\u00edQUIO SOLEDADE X R. CAPANEMA) - 1025.20m"", ""4184 (R. EUT\u00edQUIO SOLEDADE X R. CAPANEMA - FIXA) - 1031.07m"", ""4185 (R. DEM\u00e9TRIO DE TOL\u00eaDO, 151 - FIXA) - 1040.10m"", ""4164 (AV. MAESTRO PAULO E SILVA 400 - FIXA) - 1050.89m""]"
180111121,ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 8100 - SENTIDO TANQUE - FX 1,JACAREPAGUA,"[""3517 (ESTR. DOS BANDEIRANTES, 8462  - FIXA) - 35.53m"", ""3518 (ESTR. DOS BANDEIRANTES, 8462  - FIXA) - 41.72m"", ""901 (ESTR. DOS BANDEIRANTES, 8085) - 95.48m"", ""3501 (ESTR. DOS BANDEIRANTES, 8484 - FIXA) - 313.15m"", ""3502 (ESTR. DOS BANDEIRANTES, 8484 - FIXA) - 335.54m""]"
180111122,ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 8100 - SENTIDO TANQUE - FX 2,JACAREPAGUA,"[""3517 (ESTR. DOS BANDEIRANTES, 8462  - FIXA) - 35.53m"", ""3518 (ESTR. DOS BANDEIRANTES, 8462  - FIXA) - 41.72m"", ""901 (ESTR. DOS BANDEIRANTES, 8085) - 95.48m"", ""3501 (ESTR. DOS BANDEIRANTES, 8484 - FIXA) - 313.15m"", ""3502 (ESTR. DOS BANDEIRANTES, 8484 - FIXA) - 335.54m""]"
180121111,RUA MARY PESSOA PROXIMO AO Nº 70 - SENTIDO LAGOA - FX 1,GAVEA,"[""3311 (AV. PADRE LEONEL FRANCA - TERMINAL DA PUC - FIXA) - 851.61m"", ""3310 (AV. PADRE LEONEL FRANCA - TERMINAL DA PUC - FIXA) - 865.17m"", ""3312 (AV. PADRE LEONEL FRANCA - TERMINAL DA PUC - FIXA) - 910.42m"", ""3313 (AV. PADRE LEONEL FRANCA - TERMINAL DA PUC - FIXA) - 951.95m"", ""3309 (AV. PADRE LEONEL FRANCA - TERMINAL DA PUC - FIXA) - 977.54m""]"
180121112,RUA MARY PESSOA PROXIMO AO Nº 70 - SENTIDO LAGOA - FX 2,GAVEA,"[""3311 (AV. PADRE LEONEL FRANCA - TERMINAL DA PUC - FIXA) - 851.61m"", ""3310 (AV. PADRE LEONEL FRANCA - TERMINAL DA PUC - FIXA) - 865.17m"", ""3312 (AV. PADRE LEONEL FRANCA - TERMINAL DA PUC - FIXA) - 910.42m"", ""3313 (AV. PADRE LEONEL FRANCA - TERMINAL DA PUC - FIXA) - 951.95m"", ""3309 (AV. PADRE LEONEL FRANCA - TERMINAL DA PUC - FIXA) - 977.54m""]"
180131111,AVENIDA PAULO DE FRONTIN PROXIMO AO Nº 763 - SENTIDO CIDADE NOVA - FX 1,RIO COMPRIDO,"[""214 (R. SANTA ALEXANDRINA X R. DA ESTRELA) - 704.31m"", ""1530 (R. HADDOCK LOBO 282 - FIXA) - 1437.80m"", ""1531 (R. HADDOCK LOBO 282 - FIXA) - 1452.77m"", ""341 (R. HADDOCK LOBO X R. ENGENHEIRO ADEL) - 1455.27m"", ""236 (R. COSME VELHO X IGREJA S\u00c3O JUDAS TADEU) - 1456.12m""]"
180131112,AVENIDA PAULO DE FRONTIN PROXIMO AO Nº 763 - SENTIDO CIDADE NOVA - FX 2,RIO COMPRIDO,"[""214 (R. SANTA ALEXANDRINA X R. DA ESTRELA) - 704.31m"", ""1530 (R. HADDOCK LOBO 282 - FIXA) - 1437.80m"", ""1531 (R. HADDOCK LOBO 282 - FIXA) - 1452.77m"", ""341 (R. HADDOCK LOBO X R. ENGENHEIRO ADEL) - 1455.27m"", ""236 (R. COSME VELHO X IGREJA S\u00c3O JUDAS TADEU) - 1456.12m""]"
180141111,ESTRADA DO CABUCU PROXIMO AO Nº 1975 - SENTIDO AVENIDA CESARIO DE MELO - FX 1,CAMPO GRANDE,"[""1679 (EST. DO CABU\u00c7U, 2219) - 393.70m"", ""577 (ESTR. DA CACHAMORRA X R. OLINDA ELLIS - FIXA) - 896.09m"", ""1634 (ESTR. DA CACHAMORRA X R. OLINDA ELLIS - FIXA) - 903.16m"", ""1678 (EST. DO CABU\u00c7U, 747) - 1198.59m"", ""1101 (R. OLINDA ELLIS X ALT. CENTRO ESPORTIVO MI\u00c9CIMO DA SILVA - FIXA) - 1329.82m""]"
180151121,ESTRADA DO CABUCU PROXIMO AO Nº 1975 - SENTIDO ESTRADA DO VIEGAS - FX 1,CAMPO GRANDE,"[""1679 (EST. DO CABU\u00c7U, 2219) - 393.70m"", ""577 (ESTR. DA CACHAMORRA X R. OLINDA ELLIS - FIXA) - 896.09m"", ""1634 (ESTR. DA CACHAMORRA X R. OLINDA ELLIS - FIXA) - 903.16m"", ""1678 (EST. DO CABU\u00c7U, 747) - 1198.59m"", ""1101 (R. OLINDA ELLIS X ALT. CENTRO ESPORTIVO MI\u00c9CIMO DA SILVA - FIXA) - 1329.82m""]"
180161111,ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 14789 - SENTIDO RECREIO - FX 1,VARGEM PEQUENA,"[""3362 (ESTR. DOS BANDEIRANTES, 14732-14772 - FIXA) - 13.68m"", ""3364 (ESTR. DOS BANDEIRANTES, 13840 - FIXA) - 122.50m"", ""3365 (ESTR. DOS BANDEIRANTES, 13840 - FIXA) - 130.10m"", ""3361 (ESTR. DOS BANDEIRANTES, 14914 - FIXA) - 139.52m"", ""3360 (ESTR. DOS BANDEIRANTES, 14914 - FIXA) - 148.52m""]"
180171121,ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 14789 - SENTIDO TANQUE - FX 1,VARGEM PEQUENA,"[""3362 (ESTR. DOS BANDEIRANTES, 14732-14772 - FIXA) - 13.68m"", ""3364 (ESTR. DOS BANDEIRANTES, 13840 - FIXA) - 122.50m"", ""3365 (ESTR. DOS BANDEIRANTES, 13840 - FIXA) - 130.10m"", ""3361 (ESTR. DOS BANDEIRANTES, 14914 - FIXA) - 139.52m"", ""3360 (ESTR. DOS BANDEIRANTES, 14914 - FIXA) - 148.52m""]"
180181111,ESTRADA SANTA MARIA PROXIMO AO Nº 1380 - SENTIDO ESTRADA DO CAMPINHO - FX 1,CAMPO GRANDE,"[""3225 (ESTR. RIO S\u00e3O PAULO, 2172 - FIXA) - 739.38m"", ""1909 (ROD. LUIZ HENRIQUE REZENDE NOVAES, 1992 - FIXA) - 811.98m"", ""1908 (ESTR. RIO S\u00c3O PAULO,  1912 - FIXA) - 882.24m"", ""3223 (ROD. LUIZ HENRIQUE REZENDE NOVAES X  R. VICENTE FRANCISCO DOS SANTOS - FIXA) - 890.33m"", ""1907 (ROD. LUIZ HENRIQUE REZENDE NOVAES , 1776 - FIXA) - 961.22m""]"
180191121,ESTRADA SANTA MARIA PROXIMO AO Nº 1380 - SENTIDO ESTRADA RIO-SAO PAULO - FX 1,CAMPO GRANDE,"[""3225 (ESTR. RIO S\u00e3O PAULO, 2172 - FIXA) - 739.38m"", ""1909 (ROD. LUIZ HENRIQUE REZENDE NOVAES, 1992 - FIXA) - 811.98m"", ""1908 (ESTR. RIO S\u00c3O PAULO,  1912 - FIXA) - 882.24m"", ""3223 (ROD. LUIZ HENRIQUE REZENDE NOVAES X  R. VICENTE FRANCISCO DOS SANTOS - FIXA) - 890.33m"", ""1907 (ROD. LUIZ HENRIQUE REZENDE NOVAES , 1776 - FIXA) - 961.22m""]"
180201111,RUA UBATUBA PROXIMO AO Nº 921 - SENTIDO BANGU - FX 1,PADRE MIGUEL,"[""3401 (R. FIGUEIREDO CAMARGO X R. SIDNEI) - 440.56m"", ""1567 (R. FALC\u00c3O PADILHA, 264 - FIXA) - 801.52m"", ""555 (AV. DE SANTA CRUZ X R. SILVA CARDOSO) - 866.05m"", ""545 (AV. DE SANTA CRUZ X R. FRANCISCO REAL - FIXA) - 969.60m"", ""553 (R. FRANCISCO REAL X R. SILVA CARDOSO - FIXA) - 987.74m""]"
180201112,RUA UBATUBA PROXIMO AO Nº 921 - SENTIDO BANGU - FX 2,PADRE MIGUEL,"[""3401 (R. FIGUEIREDO CAMARGO X R. SIDNEI) - 440.56m"", ""1567 (R. FALC\u00c3O PADILHA, 264 - FIXA) - 801.52m"", ""555 (AV. DE SANTA CRUZ X R. SILVA CARDOSO) - 866.05m"", ""545 (AV. DE SANTA CRUZ X R. FRANCISCO REAL - FIXA) - 969.60m"", ""553 (R. FRANCISCO REAL X R. SILVA CARDOSO - FIXA) - 987.74m""]"
180211111,AVENIDA PASTEUR PROXIMO AO Nº 350 - SENTIDO PRAIA DE BOTAFOGO - FX 1,URCA,"[""305 (AV. PASTEUR X ALT. INSTITUTO BENJAMIM CONSTANT) - 92.47m"", ""1503 (AV. PASTEUR X R. VENCESLAU - FIXA) - 423.43m"", ""306 (AV. PASTEUR X R. VENCESLAU) - 424.67m"", ""3831 (AV. PASTEUR X R. RAMON FRANCO - FIXA) - 434.16m"", ""3830 (AV. PASTEUR X R. RAMON FRANCO) - 440.12m""]"
180211112,AVENIDA PASTEUR PROXIMO AO Nº 350 - SENTIDO PRAIA DE BOTAFOGO - FX 2,URCA,"[""305 (AV. PASTEUR X ALT. INSTITUTO BENJAMIM CONSTANT) - 92.47m"", ""1503 (AV. PASTEUR X R. VENCESLAU - FIXA) - 423.43m"", ""306 (AV. PASTEUR X R. VENCESLAU) - 424.67m"", ""3831 (AV. PASTEUR X R. RAMON FRANCO - FIXA) - 434.16m"", ""3830 (AV. PASTEUR X R. RAMON FRANCO) - 440.12m""]"
