camera_numero,bairro,locequip,latitude,longitude
180271111,RIO COMPRIDO,AVENIDA PAULO DE FRONTIN PROXIMO AO Nº 742 - SENTIDO TUNEL REBOUCAS - FX 1,-22.9306060008,-43.2088850006
180271112,RIO COMPRIDO,AVENIDA PAULO DE FRONTIN PROXIMO AO Nº 742 - SENTIDO TUNEL REBOUCAS - FX 2,-22.9306060008,-43.2088850006
180281111,SENADOR VASCONCELOS,ESTRADA DO PRE PROXIMO AO Nº 1079 - SENTIDO AVENIDA DE SANTA CRUZ - FX 1,-22.9023400007,-43.5397030006
180291121,SENADOR VASCONCELOS,ESTRADA DO PRE PROXIMO AO Nº 1079 - SENTIDO ESTRADA DO CABUCU - FX 1,-22.9023400007,-43.5397030006
180301121,URCA,AVENIDA PASTEUR PROXIMO AO Nº 350 - SENTIDO PRAIA VERMELHA - FX 1,-22.9528391256,-43.1725798348
180301122,URCA,AVENIDA PASTEUR PROXIMO AO Nº 350 - SENTIDO PRAIA VERMELHA - FX 2,-22.9528391256,-43.1725798348
180311111,LARANJEIRAS,RUA CONDE DE BAEPENDI PROXIMO AO Nº 141 - SENTIDO RUA DO CATETE - FX 1,-22.9337719097,-43.1826590438
180311112,LARANJEIRAS,RUA CONDE DE BAEPENDI PROXIMO AO Nº 141 - SENTIDO RUA DO CATETE - FX 2,-22.9337719097,-43.1826590438
180321111,CAMPO GRANDE,RUA GRAMADO PROXIMO AO Nº 227 - SENTIDO INHOAIBA - FX 1,-22.9048270164,-43.5724376091
180321112,CAMPO GRANDE,RUA GRAMADO PROXIMO AO Nº 227 - SENTIDO INHOAIBA - FX 2,-22.9048270164,-43.5724376091
180331111,CAMPO GRANDE,RUA OLINDA ELLIS PROXIMO AO Nº 111 - SENTIDO AVENIDA CESARIO DE MELO - FX 1,-22.9092970007,-43.5594960006
180331112,CAMPO GRANDE,RUA OLINDA ELLIS PROXIMO AO Nº 111 - SENTIDO AVENIDA CESARIO DE MELO - FX 2,-22.9092970007,-43.5594960006
180341111,CATETE,RUA SANTO AMARO PROXIMO AO Nº 158 - SENTIDO RUA DO CATETE - FX 1,-22.9228439374,-43.1820143612
180351121,CATETE,RUA SANTO AMARO PROXIMO AO Nº 158 - SENTIDO SANTA TERESA - FX 1,-22.9228439374,-43.1820143612
180361111,COLEGIO,ESTRADA DO COLEGIO PROXIMO AO Nº 1073 - SENTIDO AVENIDA BRASIL - FX 1,-22.8347668663,-43.3301792893
180361112,COLEGIO,ESTRADA DO COLEGIO PROXIMO AO Nº 1073 - SENTIDO AVENIDA BRASIL - FX 2,-22.8347668663,-43.3301792893
180371121,COLEGIO,ESTRADA DO COLEGIO PROXIMO AO Nº 1073 - SENTIDO METRO - FX 1,-22.8346226423,-43.3300975264
180371122,COLEGIO,ESTRADA DO COLEGIO PROXIMO AO Nº 1073 - SENTIDO METRO - FX 2,-22.8346226423,-43.3300975264
180381111,CURICICA,RUA ANDRE ROCHA PROXIMO AO Nº 3605 - SENTIDO CURICICA - FX 1,-22.9437690008,-43.3863900006
180391121,CURICICA,RUA ANDRE ROCHA PROXIMO AO Nº 3605 - SENTIDO TANQUE - FX 1,-22.9437690008,-43.3863900006
180401121,CAMPO GRANDE,ESTRADA DO MONTEIRO PROXIMO AO Nº 420 - SENTIDO BARRA - FX 1,-22.9167510007,-43.5635220006
180401122,CAMPO GRANDE,ESTRADA DO MONTEIRO PROXIMO AO Nº 420 - SENTIDO BARRA - FX 2,-22.9167510007,-43.5635220006
180411111,CAMPO GRANDE,ESTRADA DO MONTEIRO PROXIMO AO Nº 420 - SENTIDO AVENIDA BRASIL - FX 1,-22.9165780007,-43.5634840006
180411112,CAMPO GRANDE,ESTRADA DO MONTEIRO PROXIMO AO Nº 420 - SENTIDO AVENIDA BRASIL - FX 2,-22.9165780007,-43.5634840006
180421111,FREGUESIA (ILHA DO GOVERNADOR),AVENIDA PARANAPUA PROXIMO AO Nº 174 - SENTIDO COCOTA - FX 1,-22.7945230008,-43.1726710006
180431121,FREGUESIA (ILHA DO GOVERNADOR),AVENIDA PARANAPUA PROXIMO AO Nº 174 - SENTIDO FREGUESIA - FX 1,-22.7945230008,-43.1726710006
180441111,ANIL,AVENIDA TENENTE CORONEL MUNIZ DE ARAGAO PROXIMO AO Nº 898 - SENTIDO LINHA AMARELA - FX 1,-22.9534430008,-43.3469630006
180451121,ANIL,AVENIDA TENENTE CORONEL MUNIZ DE ARAGAO PROXIMO AO Nº 898 - SENTIDO PECHINCHA - FX 1,-22.9534430008,-43.3469630006
180461111,TIJUCA,RUA BOM PASTOR PROXIMO AO Nº 207 - SENTIDO RUA GENERAL ROCA - FX 1,-22.9291089543,-43.2314815152
180461112,TIJUCA,RUA BOM PASTOR PROXIMO AO Nº 207 - SENTIDO RUA GENERAL ROCA - FX 2,-22.9291089543,-43.2314815152
180471111,PIEDADE,RUA ASSIS CARNEIRO PROXIMO AO Nº 375 - SENTIDO ESTACAO PIEDADE - FX 1,-22.8936420008,-43.3116800006
180481121,PIEDADE,RUA ASSIS CARNEIRO PROXIMO AO Nº 375 - SENTIDO RUA CLARIMUNDO DE MELO - FX 1,-22.8936420008,-43.3116800006
180491111,GUARATIBA,AVENIDA DOM JOAO VI PROXIMO A ESTRADA DO MAGARCA - SENTIDO BARRA - FX 1,-22.9703344946,-43.6302657608
180501121,GUARATIBA,AVENIDA DOM JOAO VI PROXIMO A ESTRADA DO MAGARCA - SENTIDO SANTA CRUZ - FX 1,-22.9703344946,-43.6302657608
180511111,CAMPO GRANDE,ESTRADA DA CACHAMORRA PROXIMO AO Nº 371 - SENTIDO ESTRADA DO CABUCU - FX 1,-22.9268420007,-43.5533640006
180521121,CAMPO GRANDE,ESTRADA DA CACHAMORRA PROXIMO AO Nº 371 - SENTIDO ESTRADA DO MATO ALTO - FX 1,-22.9268420007,-43.5533640006
180531111,CAMPO GRANDE,ESTRADA DA CACHAMORRA PROXIMO AO Nº 716 - SENTIDO ESTRADA DO CABUCU - FX 1,-22.9233644913,-43.5513250911
180541121,CAMPO GRANDE,ESTRADA DA CACHAMORRA PROXIMO AO Nº 716 - SENTIDO ESTRADA DO MATO ALTO - FX 1,-22.9233644913,-43.5513250911
180551111,JACAREPAGUA,ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 5900 - SENTIDO RECREIO - FX 1,-22.9614120008,-43.3955230006
180551112,JACAREPAGUA,ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 5900 - SENTIDO RECREIO - FX 2,-22.9614120008,-43.3955230006
180561121,JACAREPAGUA,ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 6101 - SENTIDO TANQUE - FX 1,-22.9623650008,-43.3993460006
180561122,JACAREPAGUA,ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 6101 - SENTIDO TANQUE - FX 2,-22.9623650008,-43.3993460006
180571111,ITANHANGA,RUA DOM ROSALVO COSTA REGO PROXIMO AO Nº 146 - SENTIDO ALTO DA BOA VISTA - FX 1,-22.9941617933,-43.3033182429
180571112,ITANHANGA,RUA DOM ROSALVO COSTA REGO PROXIMO AO Nº 146 - SENTIDO ALTO DA BOA VISTA - FX 2,-22.9941617933,-43.3033182429
180581111,GUARATIBA,ESTRADA DA MATRIZ PROXIMO AO Nº 2440 - SENTIDO GUARATIBA - FX 1,-22.9938820007,-43.6112920006
180591121,GUARATIBA,ESTRADA DA MATRIZ PROXIMO AO Nº 2440 - SENTIDO PEDRA DE GUARATIBA - FX 1,-22.9938820007,-43.6112920006
180601111,ITANHANGA,ESTRADA DA BARRA DA TIJUCA PROXIMO AO Nº 420 - SENTIDO LARGO DA BARRA - FX 1,-22.9924681755,-43.3027740625
180601112,ITANHANGA,ESTRADA DA BARRA DA TIJUCA PROXIMO AO Nº 420 - SENTIDO LARGO DA BARRA - FX 2,-22.9924681755,-43.3027740625
180611111,VARGEM PEQUENA,ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 16293 - SENTIDO RECREIO - FX 1,-22.9824170007,-43.4672470006
180621121,VARGEM PEQUENA,ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 16293 - SENTIDO TANQUE - FX 1,-22.9824170007,-43.4672470006
180631111,ITANHANGA,RUA DOM ROSALVO COSTA REGO PROXIMO A RUA MINISTRO WALDEMAR FALCAO - SENTIDO ALTO DA BOA VISTA - FX 1,-22.9903825259,-43.301581454
180631112,ITANHANGA,RUA DOM ROSALVO COSTA REGO PROXIMO A RUA MINISTRO WALDEMAR FALCAO - SENTIDO ALTO DA BOA VISTA - FX 2,-22.9903825259,-43.301581454
190011111,SAO CONRADO,AUTOESTRADA LAGOA-BARRA PROXIMO A RUA HERBERT MOSES - SENTIDO BARRA - FX 1,-22.997836085,-43.2653960928
190011112,SAO CONRADO,AUTOESTRADA LAGOA-BARRA PROXIMO A RUA HERBERT MOSES - SENTIDO BARRA - FX 2,-22.997836085,-43.2653960928
190021111,RECREIO DOS BANDEIRANTES,AVENIDA DAS AMERICAS PROXIMO AO Nº 17001 - SENTIDO SANTA CRUZ - FX 1,-23.016494464,-43.4752591404
190021112,RECREIO DOS BANDEIRANTES,AVENIDA DAS AMERICAS PROXIMO AO Nº 17001 - SENTIDO SANTA CRUZ - FX 2,-23.016494464,-43.4752591404
190021121,RECREIO DOS BANDEIRANTES,AVENIDA DAS AMERICAS PROXIMO AO Nº 17001 - SENTIDO SAO CONRADO - FX 1,-23.0166777335,-43.4753825385
190021122,RECREIO DOS BANDEIRANTES,AVENIDA DAS AMERICAS PROXIMO AO Nº 17001 - SENTIDO SAO CONRADO - FX 2,-23.0166777335,-43.4753825385
190031111,BARRA DA TIJUCA,AVENIDA DAS AMERICAS PROXIMO AO Nº 7380 - SENTIDO SANTA CRUZ - FX 1 PISTA CENTRAL,-23.0003936483,-43.3855497063
190031112,BARRA DA TIJUCA,AVENIDA DAS AMERICAS PROXIMO AO Nº 7380 - SENTIDO SANTA CRUZ - FX 2 PISTA CENTRAL,-23.0003936483,-43.3855497063
190031113,BARRA DA TIJUCA,AVENIDA DAS AMERICAS PROXIMO AO Nº 7380 - SENTIDO SANTA CRUZ - FX 3 PISTA CENTRAL,-23.0003936483,-43.3855497063
190031211,BARRA DA TIJUCA,AVENIDA DAS AMERICAS PROXIMO AO Nº 7380 - SENTIDO SANTA CRUZ - FX 1 PISTA LATERAL,-23.0001793443,-43.3855536206
190031212,BARRA DA TIJUCA,AVENIDA DAS AMERICAS PROXIMO AO Nº 7380 - SENTIDO SANTA CRUZ - FX 2 PISTA LATERAL,-23.0001793443,-43.3855536206
190031213,BARRA DA TIJUCA,AVENIDA DAS AMERICAS PROXIMO AO Nº 7380 - SENTIDO SANTA CRUZ - FX 3 PISTA LATERAL,-23.0001793443,-43.3855536206
190041111,GLORIA,AVENIDA INFANTE DOM HENRIQUE KM 1 - SENTIDO CENTRO - FX 1,-22.9131130008,-43.1730210006
190041112,GLORIA,AVENIDA INFANTE DOM HENRIQUE KM 1 - SENTIDO CENTRO - FX 2,-22.9131130008,-43.1730210006
190041113,GLORIA,AVENIDA INFANTE DOM HENRIQUE KM 1 - SENTIDO CENTRO - FX 3,-22.9131130008,-43.1730210006
190041114,GLORIA,AVENIDA INFANTE DOM HENRIQUE KM 1 - SENTIDO CENTRO - FX 4,-22.9131130008,-43.1730210006
190051111,FLAMENGO,"AVENIDA INFANTE DOM HENRIQUE KM 2,7 - SENTIDO CENTRO - FX 1",-22.9266720008,-43.1717650006
190051112,FLAMENGO,"AVENIDA INFANTE DOM HENRIQUE KM 2,7 - SENTIDO CENTRO - FX 2",-22.9266720008,-43.1717650006
190051113,FLAMENGO,"AVENIDA INFANTE DOM HENRIQUE KM 2,7 - SENTIDO CENTRO - FX 3",-22.9266720008,-43.1717650006
190051114,FLAMENGO,"AVENIDA INFANTE DOM HENRIQUE KM 2,7 - SENTIDO CENTRO - FX 4",-22.9266720008,-43.1717650006
190051121,FLAMENGO,"AVENIDA INFANTE DOM HENRIQUE KM 2,7 - SENTIDO BOTAFOGO - FX 1",-22.9265410008,-43.1719660006
190051122,FLAMENGO,"AVENIDA INFANTE DOM HENRIQUE KM 2,7 - SENTIDO BOTAFOGO - FX 2",-22.9265410008,-43.1719660006
190051123,FLAMENGO,"AVENIDA INFANTE DOM HENRIQUE KM 2,7 - SENTIDO BOTAFOGO - FX 3",-22.9265410008,-43.1719660006
190051124,FLAMENGO,"AVENIDA INFANTE DOM HENRIQUE KM 2,7 - SENTIDO BOTAFOGO - FX 4",-22.9265410008,-43.1719660006
190061111,VILA VALQUEIRE,AVENIDA JAMBEIRO PROXIMO AO Nº 620 - SENTIDO VILA VALQUEIRE - FX 1,-22.8837878431,-43.3728139119
190061112,VILA VALQUEIRE,AVENIDA JAMBEIRO PROXIMO AO Nº 620 - SENTIDO VILA VALQUEIRE - FX 2,-22.8837878431,-43.3728139119
190071111,VILA VALQUEIRE,AVENIDA JAMBEIRO PROXIMO AO Nº 815 - SENTIDO VILA VALQUEIRE - FX 1,-22.8827660008,-43.3720800006
190071112,VILA VALQUEIRE,AVENIDA JAMBEIRO PROXIMO AO Nº 815 - SENTIDO VILA VALQUEIRE - FX 2,-22.8827660008,-43.3720800006
190081111,CENTRO,AVENIDA PRESIDENTE KUBITSCHEK   - SENTIDO ATERRO - FX 1,-22.9046130008,-43.1711710006
190081112,CENTRO,AVENIDA PRESIDENTE KUBITSCHEK   - SENTIDO ATERRO - FX 2,-22.9046130008,-43.1711710006
190091111,JARDIM SULACAP,ESTRADA DO CATONHO PROXIMO AO Nº 977 - SENTIDO TAQUARA - FX 1,-22.8994390008,-43.3848390006
190091112,JARDIM SULACAP,ESTRADA DO CATONHO PROXIMO AO Nº 977 - SENTIDO TAQUARA - FX 2,-22.8994390008,-43.3848390006
190101121,GALEAO,ESTRADA DO GALEAO PROXIMO AO Nº 4100 - SENTIDO ZUMBI - FX 1,-22.8122216917,-43.2185562336
190101122,GALEAO,ESTRADA DO GALEAO PROXIMO AO Nº 4100 - SENTIDO ZUMBI - FX 2,-22.8122216917,-43.2185562336
190101123,GALEAO,ESTRADA DO GALEAO PROXIMO AO Nº 4100 - SENTIDO ZUMBI - FX 3,-22.8122216917,-43.2185562336
190111111,JACAREPAGUA,ESTRADA DOS TRES RIOS PROXIMO AO Nº 2702 - SENTIDO LINHA AMARELA - FX 1,-22.9279740008,-43.3209280006
190111112,JACAREPAGUA,ESTRADA DOS TRES RIOS PROXIMO AO Nº 2702 - SENTIDO LINHA AMARELA - FX 2,-22.9279740008,-43.3209280006
190121121,SENADOR VASCONCELOS,RUA ARTHUR RIOS PROXIMO AO Nº 692 - SENTIDO CAMPO GRANDE - FX 1,-22.8984612925,-43.5409631741
190121122,SENADOR VASCONCELOS,RUA ARTHUR RIOS PROXIMO AO Nº 692 - SENTIDO CAMPO GRANDE - FX 2,-22.8984612925,-43.5409631741
190131111,HUMAITA,TUNEL REBOUCAS GALERIA COSME VELHO / LAGOA - SENTIDO LAGOA - FX 1,-22.9523980008,-43.2037990006
190131112,HUMAITA,TUNEL REBOUCAS GALERIA COSME VELHO / LAGOA - SENTIDO LAGOA - FX 2,-22.9523980008,-43.2037990006
190131113,HUMAITA,TUNEL REBOUCAS GALERIA COSME VELHO / LAGOA - SENTIDO LAGOA - FX 3,-22.9523980008,-43.2037990006
190141111,FLAMENGO,AVENIDA RUI BARBOSA PROXIMO AO Nº 582 - SENTIDO CENTRO - FX 1,-22.9417470008,-43.1731170006
190141112,FLAMENGO,AVENIDA RUI BARBOSA PROXIMO AO Nº 582 - SENTIDO CENTRO - FX 2,-22.9417470008,-43.1731170006
190141113,FLAMENGO,AVENIDA RUI BARBOSA PROXIMO AO Nº 582 - SENTIDO CENTRO - FX 3,-22.9417470008,-43.1731170006
190141114,FLAMENGO,AVENIDA RUI BARBOSA PROXIMO AO Nº 582 - SENTIDO CENTRO - FX 4,-22.9417470008,-43.1731170006
190151111,MEIER,RUA ARQUIAS CORDEIRO PROXIMO AO Nº 112 - SENTIDO ENGENHO NOVO - FX 1,-22.9039950008,-43.2733140006
190151112,MEIER,RUA ARQUIAS CORDEIRO PROXIMO AO Nº 112 - SENTIDO ENGENHO NOVO - FX 2,-22.9039950008,-43.2733140006
190151113,MEIER,RUA ARQUIAS CORDEIRO PROXIMO AO Nº 112 - SENTIDO ENGENHO NOVO - FX 3,-22.9039950008,-43.2733140006
190161111,SENADOR VASCONCELOS,RUA ARTHUR RIOS PROXIMO AO Nº 929 - SENTIDO BANGU - FX 1,-22.8999090007,-43.5424360006
190161112,SENADOR VASCONCELOS,RUA ARTHUR RIOS PROXIMO AO Nº 929 - SENTIDO BANGU - FX 2,-22.8999090007,-43.5424360006
190171111,FLAMENGO,PRAIA DO FLAMENGO PROXIMO AO Nº 350 - SENTIDO BOTAFOGO - FX 1,-22.9367210008,-43.1740510006
190171112,FLAMENGO,PRAIA DO FLAMENGO PROXIMO AO Nº 350 - SENTIDO BOTAFOGO - FX 2,-22.9367210008,-43.1740510006
190171113,FLAMENGO,PRAIA DO FLAMENGO PROXIMO AO Nº 350 - SENTIDO BOTAFOGO - FX 3,-22.9367210008,-43.1740510006
190181111,FREGUESIA (JACAREPAGUA),AVENIDA GOVERNADOR CARLOS LACERDA PROXIMO AO TUNEL ENALDO CRAVO PEIXOTO - SENTIDO BARRA - FX 1,-22.9348680008,-43.3465370006
190181112,FREGUESIA (JACAREPAGUA),AVENIDA GOVERNADOR CARLOS LACERDA PROXIMO AO TUNEL ENALDO CRAVO PEIXOTO - SENTIDO BARRA - FX 2,-22.9348680008,-43.3465370006
190181113,FREGUESIA (JACAREPAGUA),AVENIDA GOVERNADOR CARLOS LACERDA PROXIMO AO TUNEL ENALDO CRAVO PEIXOTO - SENTIDO BARRA - FX 3,-22.9348680008,-43.3465370006
190191111,LAGOA,AVENIDA BORGES DE MEDEIROS PROXIMO AO Nº 2225 - SENTIDO TUNEL REBOUCAS - FX 1,-22.969411955,-43.2173972951
190191112,LAGOA,AVENIDA BORGES DE MEDEIROS PROXIMO AO Nº 2225 - SENTIDO TUNEL REBOUCAS - FX 2,-22.969411955,-43.2173972951
